Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
Volume_BCC,Unweighted,Stress,126,271469.1221029977,0.12633028217097794,770711.2029469387,0.1604810869267494,74843465551837.58,0.974245820738809
Volume_BCC,Weighted,Combined,273,0.025402071762116132,0.014483017101526295,0.14220672494153713,0.019970882619280858,5.520811464877253,0.9996011638474069
Volume_BCC,Weighted,Energy,21,0.32859811817489176,0.03299487234509859,0.5127301630167898,0.03823241649285731,5.520736621411701,0.9985382823291167
Volume_BCC,Weighted,Force,126,3.382717651236963e-24,1.4474512021999113,6.988391256279195e-24,0.9211584613013852,6.153539156205777e-45,0.15146708917286467
Volume_BCC,Weighted,Stress,126,0.0002714691221029977,0.12633028217097797,0.0007707112029469386,0.1604810869267493,7.484346555183759e-05,0.9742458207388092
Volume_FCC,Unweighted,Combined,589,96063.3453261876,0.2891677914746195,606445.5422390806,0.4277069214081204,216620179268273.38,0.8170667893795879
Volume_FCC,Unweighted,Energy,31,0.8120769237790746,0.11165425626275584,1.1812032857671357,0.12475055603842358,43.25247727151942,0.9844372987681042
Volume_FCC,Unweighted,Force,372,2.722464722541259e-15,1.0313796587120356,5.900434155326783e-15,0.7449565406345492,1.295122583834104e-26,0.4450397525658054
Volume_FCC,Unweighted,Stress,186,304200.4581867734,0.28916841771159285,1079177.7516802629,0.4556617235268296,216620179268230.1,0.7923723937125591
Volume_FCC,Weighted,Combined,589,0.042836954027799745,0.04937521097799986,0.27098729724111037,0.06342265714777362,43.252693891698684,0.995977566560316
Volume_FCC,Weighted,Energy,31,0.8120769237790746,0.11165425626275584,1.1812032857671357,0.12475055603842358,43.25247727151942,0.9844372987681042
Volume_FCC,Weighted,Force,372,2.722464722541259e-24,1.0313796587120356,5.900434155326783e-24,0.7449565406345492,1.2951225838341042e-44,0.4450397525658054
Volume_FCC,Weighted,Stress,186,0.0003042004581867734,0.2891684177115928,0.0010791777516802631,0.4556617235268298,0.00021662017926823014,0.792372393712559
